9199,9200,9230,13230
3224,9179,9205,15600
9207,9244,13236,14751
3225,9208,9245,15379
3260,9209,9266,15662
3228,13237,14758,15377
3237,9270,13220,15378
615,13205,14761,15381
3254,9313,13217,15600
3227,3259,9285,15598
3236,3288,14770,15661
611,9361,14761,15381
13242,14731,15396,15599
9294,13225
3271,9276,13228,14777
3278,9262,14778
627,9265,14773,14780
9286,9316,14767,15662
3301,9269,13268,14775
3266,9322,13222,15386
9292,13282,14743,14776
9345,13247,14757,14778
9314,9350,13236,15383
620,14773,14780,15601
3328,13250,13263,15384
3318,13317,15663,15664
9287,9353,13266,13277
9390,13267,14769,14782
3341,9342,9378,14794
3321,9405
3326,13278,13293
9366,15388,15391
3361,9367,9420,13287
3397,9380,9403,14805
9436,13278,13293
640,9394,9439
639,3354,15680
3397,9403,9424,15407
9425,9450,13271,13302
644,13304,14785,15608
643,14785,14801,15608
3385,9466,14799,15603
9443,13282,15398,15604
9417,9418,13342,14804
3388,13310,13332
3414,9445,13299,14811
3423,9379,13313,13335
3373,13319,13348,14795
9404,9454,13349,14806
654,13338,14796,14808
653,9461,13338,14796
9435,9483,13323,14809
3412,13309,13331,15605
13310,13332,13333,13343
3417,3463,9473
3443,9497,14813,15395
3444,9449,9478,15606
9487,9488,13329,15402
3479,3498,14837,15396
3482,9469,9491
13331,14804,14823,15605
9470,9492,14811,15666
4922,9493,13359
3450,3451,9518,15397
3489,13349,13350,14806
9466,9512,13340,13367
3439,13356,13370,15398
9532,13344,13357,13373
9496,13345,14825,14832
9515,13346,13360,15410
3505,9516,9538,15401
3509,9543,13348,15403
3513,13351,13364,13365
3502,13355,13368,14827
3503,3525,9533,13358
3526,9534,9554,15399
3531,13316,13360,14830
3506,9539,9558,15664
9573,13382,13383,15604
3528,9536,13400,14829
3508,9559,13388,13449
3509,3533,15607
3558,13391,14826
3516,3561,13418,15681
3545,9589,13408,14828
3547,9592,14816,14831
3571,9595,13401,15406
3551,9629,14830,15611
9608,13366,14835,15411
9579,13390,13416,14841
3560,9581,13393,13417
3565,9572,9615,13406
3523,3584,13410,13411
3570,13400,13413,15413
3553,9603,9630,15607
3578,9608,14835,14847
13412,13444,14839,14850
3601,9632,13416,13436
3631,13425,13450,14842
9653,13417,13426,14843
9634,13418,14860,15681
9612,13419,13437,13452
3618,9628,13447
3593,3641,9671,13421
3594,13448,14856,15414
3652,9681,13427,14849
3642,9672,13434,14864
3627,9674,13463,15612
9650,9676,13476,15613
9685,9709,13441
3639,9662,13456,14862
9690,9712,13420,13457
9716,14858,15410,15611
9643,13470,13481,15611
9645,9719,13459,15667
9675,9701,13474,15421
9677,9703,9734,15613
9652,9735,13465,14859
3670,9704,14845,15423
3677,13455,13516
9689,9746,13443,13489
9732,9761,14857,15615
9763,13464,13475,13476
3675,9772,13467,15616
3695,11977,13488,14861
9711,9774,13480
3697,3698,13468,13490
9757,9758,14864,14876
9760,9785,13473
734,13509,14865,14869
733,14865
9706,13486,13495,15617
9776,13469,14867
3713,9780,9806,13481
9668,9752,13505,14868
3732,9755,9782,15425
9766,9816,13492,13510
3743,9800,14875,15616
3769,9784,13506,15619
3758,9817,13493,15423
9838,13513
3725,3748,9845,15426
9823,13500,14884
9750,9805,13518,13526
13528,13529,14876
9809,9851,13507,13531
14882,14890,14893
9797,9839,13543,15617
9844,9916,13516
754,9844,15429,15432
753,15429,15430,15432
9826,9995,14885,15618
3801,9827,13549,15618
9873,9874,13505,14886
9833,9899,13532,13533
9858,14871,14894,14913
3795,9845,13544,15430
3783,9849,9892,9893
9850,9895,13550,13559
13528,13529,13552,13560
3806,13553,14877
9908,14890,14893
3798,9868,9918,14892
9869,9870,9889,13568
9871,9890,13547,13569
9872,13608,14885,14897
9873,9874,13558,14907
9899,13533,13534,14902
9882,9901,9924,13564
3826,9911,9931,13543
784,3802,13579,15621
9944,9967,13560,14901
3842,9923,13563,15434
3846,9928,14899,14919
9914,9933,9934,14921
3852,9915,13573,14915
3854,13577,13605,14896
9920,9938,9963,14924
783,9921,9964,14908
782,9921,9964,15621
774,13579,14916,15621
9939,9940,13559,13594
3836,9943,13595,14887
3809,3840,14926,15682
9973,9974,13565,15620
795,9907,13587,13614
3876,9956,9985,14903
9959,9988,14904,14922
3881,9959,9989,13576
9940,13594,14925,14931
3864,13583,13584,13643
789,13587,13614,14933
9910,9977,13615
3875,13601,13620,14915
3853,3880,13622,14922
3889,9969,10000,13628
9947,13597,13609,15436
10007,13633,14919
3894,13598,14920,14934
10009,14920,14934,15443
3883,10046,14930,15623
9996,13658,13659,14916
813,13609,13642,15436
3910,10005,10031,15437
10064,10095,13614,14933
3917,13617,13646
3923,10016,13651,14266
10044,13637,13653,14929
3949,10046,10047,14930
806,13642,13661,15436
3911,10094,13633,14945
10053,10077,14951,15439
3953,10080,13638,14949
10023,10081,10110
10092,13644,13674,14969
3995,10116,13631,15440
3990,13657,13667
10082,10112,13659,14952
10094,14945,14953,14958
3963,13680,14947,15445
3980,3999,4000,13663
10102,10120,13648,13691
3991,10130,13668,15446
10115,13660,13671,15447
3997,13678
4003,10156,13694,14951
4026,10165,14953
13667,13695,13705,15449
4041,10148,13709,14962
4046,10150,10166,15448
4031,10169,13717,15445
10154,10170,10193,14964
4021,10219,13712,13729
844,10202,13706,13714
4023,10181,14973,14982
10161,10207,13715,14968
10214,13710,13726,15450
4051,10172,10218,14966
4035,10198,14976,15451
4038,10199,13732
837,10202,10231,13714
10203,10232,14956,14973
4059,13722,13736,14968
4068,10212,14970,14979
4058,10282,14977,15449
10112,14952,14972,15456
4078,13722,13753,14978
4082,13764,14974,15455
4067,4084,14983
10213,10243,14980,15457
4088,10215,13740,13769
10229,10281,13749,15454
10181,13750,14982,15006
10234,10235,13752,13763
10208,10240,13778,15458
869,14980,14993,15457
4117,10262,10291,15453
4117,10263,14995,15453
4088,13769,13786,15672
4091,10267,10298
10325,13729,13743,14996
4125,4147,13761,15670
4148,10253,10310,14992
4150,13751,13762,14998
4106,10288,10318
859,13781,14993,15457
13768,13783,14985
4137,10268,13771,14999
4168,13781,13792,14993
10290,13784
10338,10377,13773,14991
4163,10311,14998,15467
10317,13789
4166,13805,13806,15459
4155,13807,15004,15009
4180,13787,13798,15012
4208,10344,15003,15007
4167,4212,10384,13791
4220,10358,13821
10411,13799,13825
10376,10416,13800,15017
4211,13830
4232,10320,10423,13817
4214,13832,15014
4236,10474,13820,15010
10453,10500,13827,15626
4213,10385,10460,10508
10568,13818,13834,15474
