0.028,0.028460498941515415,0.024020824298928628,0.015
0.025455844122715707,0.054
0.009,0.027,0.023,0.0304138126514911
0.029,0.012727922061357854,0.042,0.009848857801796104
0.009,0.014,0.009848857801796104,0.018
0.036,0.03744329045369811,0.034438350715445126
0.043382023926967724,0.029698484809834995,0.021095023109728987,0.05154609587543949
0.025455844122715707,0.034
0.029698484809834995,0.014764823060233401,0.021633307652783935,0.022360679774997897
0.003605551275463989,0.028284271247461898,0.023,0.018
0.025455844122715707,0.027,0.020124611797498106
0.009,0.018384776310850233,0.006403124237432849,0.018
0.034,0.030805843601498725,0.03577708763999664,0.011180339887498949
0.033,0.021,0.009486832980505138,0.03794733192202055
0.021213203435596423,0.042,0.029068883707497266,0.00223606797749979
0.018,0.03,0.0304138126514911,0.005
0.018,0.025,0.014764823060233401,0.013
0.032,0.032,0.009,0.009
0.027,0.029698484809834995,0.018,0.006708203932499369
0.018,0.022,0.009,0.009848857801796104
0.029068883707497266,0.02,0.023,0.007615773105863909
0.018384776310850233,0.027,0.0191049731745428
0.025455844122715707,0.018
0.027,0.02118962010041709,0.00282842712474619,0.031112698372208085
0.034,0.02435159132377184,0.018384776310850233,0.038275318418009276
0.018,0.027,0.009,0.012727922061357854
0.018,0.033,0.018973665961010275,0.039
0.01,0.036,0.014,0.029529646120466803
0.027,0.02102379604162864
0.011,0.018,0.014,0.01565247584249853
0.021,0.023086792761230393,0.025,0.014317821063276353
0.01979898987322333,0.0070710678118654745,0.009,0.019
0.025,0.019,0.029
0.042,0.0304138126514911,0.01746424919657298,0.01726267650163207
0.016,0.03860051813123757,0.02213594362117866,0.052
0.027,0.025455844122715707
0.021,0.03324154027718933,0.027,0.003605551275463989
0.020124611797498106,0.009848857801796104,0.032,0.025455844122715707
0.025,0.043,0.020124611797498106,0.020124611797498106
0.03,0.009,0.027,0.009486832980505138
0.018,0.021213203435596423,0.013,0.003605551275463989
0.025,0.037,0.046389654018972805,0.0478539444560216
0.042,0.023
0.014,0.014,0.015231546211727818,0.02
0.025455844122715707,0.036,0.025455844122715707
0.009,0.022,0.024,0.009219544457292887
0.014,0.009848857801796104,0.012727922061357854,0.027
0.025495097567963924,0.01,0.036,0.027459060435491962
0.03130495168499706,0.00412310562561766,0.018,0.027
0.025495097567963924,0.04,0.02118962010041709,0.01345362404707371
0.036,0.04114608122288197,0.00412310562561766
0.03,0.007,0.028460498941515415,0.0304138126514911
0.018,0.025455844122715707,0.018
0.018,0.014,0.009848857801796104,0.009
0.025495097567963924,0.01649242250247064,0.027,0.027
0.009,0.009,0.012727922061357854,0.018
0.009,0.012727922061357854,0.018,0.009
0.014,0.031,0.036,0.014866068747318507
0.006324555320336759,0.018,0.023,0.027730849247724097
0.018,0.024041630560342614,0.03252691193458118,0.013416407864998738
0.013416407864998738,0.033941125496954286,0.03889730067755345,0.01345362404707371
0.013,0.021213203435596423,0.018,0.003605551275463989
0.031,0.031,0.014,0.014
0.012727922061357854,0.027,0.027,0.012727922061357854
0.025,0.020615528128088305,0.025,0.020615528128088305
0.025,0.010295630140987002,0.009486832980505138,0.027
0.03,0.0304138126514911,0.012727922061357854,0.025942243542145693
0.027,0.0070710678118654745,0.027,0.0388329756778952
0.03,0.037,0.009,0.01140175425099138
0.03577708763999664,0.005385164807134504,0.02213594362117866
0.021,0.009,0.027,0.010816653826391968
0.020124611797498106,0.027294688127912362,0.020591260281974003,0.021213203435596423
0.018,0.009,0.027,0.012727922061357854
0.029,0.03130495168499706,0.018,0.00412310562561766
0.049193495504995376,0.05140038910358559,0.04909175083453431,0.026076809620810597
0.026172504656604804,0.018,0.037,0.018
0.021,0.01676305461424021,0.021,0.01676305461424021
0.021,0.018,0.009,0.009486832980505138
0.041,0.041,0.009,0.009
0.04666904755831214,0.05374011537017761,0.012727922061357854,0.014560219778561036
0.033941125496954286,0.036,0.026832815729997475
0.009,0.018,0.006403124237432849,0.01979898987322333
0.009,0.006403124237432849,0.0191049731745428,0.019
0.041,0.009486832980505138,0.045,0.009055385138137417
0.082,0.07833900688673555,0.017088007490635063,0.037
0.036,0.026832815729997475,0.033941125496954286
0.055,0.063,0.027,0.028160255680657446
0.026076809620810597,0.03252691193458118,0.036,0.012727922061357854
0.025455844122715707,0.022,0.020124611797498106,0.0304138126514911
0.02435159132377184,0.026,0.01565247584249853
0.006403124237432849,0.025455844122715707,0.013,0.022
0.0191049731745428,0.014,0.027,0.014
0.023,0.009,0.020124611797498106
0.04101219330881976,0.027,0.019209372712298545,0.024041630560342614
0.031,0.0191049731745428,0.013,0.045
0.009,0.012727922061357854,0.018,0.009
0.022,0.029,0.04,0.024596747752497688
0.05990826320300064,0.049729267036625426,0.06957010852370435,0.04606517122512408
0.02340939982143925,0.03,0.031112698372208085
0.045,0.04808326112068523,0.02340939982143925,0.022472205054244233
0.009,0.031112698372208085,0.031,0.022
0.043,0.012727922061357854,0.039,0.010295630140987002
0.036,0.036,0.013,0.013
0.018,0.025455844122715707,0.018
0.009,0.009,0.012727922061357854,0.018
0.01979898987322333,0.018,0.025455844122715707,0.014560219778561036
0.018,0.048,0.014764823060233401,0.05140038910358559
0.027,0.027,0.0194164878389476,0.0194164878389476
0.025942243542145693,0.023,0.006,0.018
0.018,0.025298221281347035,0.033421549934136804,0.045
0.077,0.07844743462982075,0.028
0.027,0.029,0.0615223536610881,0.023345235059857507
0.025455844122715707,0.018,0.018
0.0266270539113887,0.027,0.01769180601295413,0.009
0.068,0.05
0.067,0.05586591089385369,0.03298484500494128,0.020248456731316585
0.027,0.014,0.029966648127543394,0.027
0.027,0.06350590523722971,0.059,0.00223606797749979
0.0304138126514911,0.024698178070456937,0.008602325267042627,0.045
0.01788854381999832,0.009,0.045,0.04465422712353222
0.014,0.045,0.01979898987322333,0.059
0.012727922061357854,0.027,0.036,0.020124611797498106
0.07,0.05772347875864725,0.032202484376209234
0.012727922061357854,0.018,0.06363961030678927,0.04024922359499621
0.015,0.022472205054244233,0.019,0.027
0.006403124237432849,0.01979898987322333,0.019,0.012727922061357854
0.019,0.019,0.026870057685088804
0.049,0.009,0.049
0.05474486277268397,0.054,0.031
0.018,0.049
0.0304138126514911,0.047,0.061
0.049,0.0191049731745428,0.063
0.057,0.05,0.05192301994298868
0.059,0.059,0.014
0.092,0.10656922632730333,0.024698178070456937
0.068,0.012727922061357854,0.077
0.0737563556583431,0.066,0.08653323061113574
0.0905096679918781,0.0170293863659264,0.08276472678623424
0.073,0.04846648326421053,0.061269894728161564
0.034,0.054,0.05692099788303083
0.049,0.05044799302251775,0.023
0.073,0.7540026525152282,0.9545952021668661
0.036,0.045,0.05939696961966999,0.03765634076752546,0.0191049731745428
0.012727922061357854,0.045,0.036,0.045
0.025455844122715707,0.009,0.01655294535724685,0.016278820596099707,0.036
0.025455844122715707,0.009,0.012727922061357854,0.027
0.134,0.1782638493918495,0.07912016177940993,0.04243819034784589
0.134,0.021587033144922902,0.10754068997360952,0.04024922359499621,0.05348831648126533
0.025455844122715707,0.03573513677041128,0.051,0.02435159132377184
